,gt,ocr,cer,wer,n_characters,n_words,report
123,input/688357687_688358799_1771000800/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000082.txt,input/688357687_688358799_1771000800/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000082.txt,0.010284810126582278,0.05128205128205128,1264,195,report-688357687_688358799_1771000800-00000082-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
68,input/688357687_688358799_1771000800/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000082.txt,input/688357687_688358799_1771000800/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000082.txt,0.11867088607594936,0.23076923076923078,1264,195,report-688357687_688358799_1771000800-00000082-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
460,input/688357687_688358799_1771000800/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000083.txt,input/688357687_688358799_1771000800/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000083.txt,0.012195121951219513,0.046242774566473986,1066,173,report-688357687_688358799_1771000800-00000083-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
102,input/688357687_688358799_1771000800/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000083.txt,input/688357687_688358799_1771000800/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000083.txt,0.10412757973733583,0.18497109826589594,1066,173,report-688357687_688358799_1771000800-00000083-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
320,input/688357687_688358799_1771000800/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000084.txt,input/688357687_688358799_1771000800/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000084.txt,0.01728024042073629,0.06363636363636363,1331,220,report-688357687_688358799_1771000800-00000084-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
668,input/688357687_688358799_1771000800/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000084.txt,input/688357687_688358799_1771000800/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000084.txt,0.09917355371900827,0.18181818181818182,1331,220,report-688357687_688358799_1771000800-00000084-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
656,input/688357687_688358799_1771000800/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000085.txt,input/688357687_688358799_1771000800/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000085.txt,0.01928374655647383,0.09770114942528736,1089,174,report-688357687_688358799_1771000800-00000085-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
630,input/688357687_688358799_1771000800/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000085.txt,input/688357687_688358799_1771000800/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000085.txt,0.11937557392102846,0.22988505747126436,1089,174,report-688357687_688358799_1771000800-00000085-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
197,input/730277879_82603893X_1795000200/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000190.txt,input/730277879_82603893X_1795000200/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000190.txt,0.011049723756906077,0.03731343283582089,905,134,report-730277879_82603893X_1795000200-00000190-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
392,input/730277879_82603893X_1795000200/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000190.txt,input/730277879_82603893X_1795000200/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000190.txt,0.10276243093922652,0.26119402985074625,905,134,report-730277879_82603893X_1795000200-00000190-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
